Longitude,Latitude,Elevation,Area,Farmland,Forest,Grassland,Shrubland,Wetland,Impervious,Bareland,Snow and ice,Clay,Sand,Silt,MAP,MAT,Radiation_intensity,DOC,RA_ligDOM,DA_ligDOM,DA_DOM,AImod,DBEC,NOSC,G
-106.949167,38.541944,2347,8784.410733,0.012797569,0.037852724,0.803909468,0.005739235,0.000694262,0.068215129,0.070791613,0,22,43,35,280,3.49166679,198.1666667,1.86,0.500875262,0.997023646,0.998707689,0.189429047,0.549333819,0.096488519,57.55007722
-106.949167,38.541944,2347,8784.410733,0.012797569,0.037852724,0.803909468,0.005739235,0.000694262,0.068215129,0.070791613,0,22,43,35,280,3.49166679,198.1666667,1.84,0.511833219,0.997288557,0.998760172,0.195923692,0.553961983,0.114586394,57.03428777
-106.949167,38.541944,2347,8784.410733,0.012797569,0.037852724,0.803909468,0.005739235,0.000694262,0.068215129,0.070791613,0,22,43,35,280,3.49166679,198.1666667,1.4,0.505166708,0.997217618,0.998740309,0.190903098,0.547682848,0.085726035,57.856808
-120.36388,50.6875,340,98347.62935,0.005314555,0.086348236,0.477592506,0.000205939,0.000890188,0.409446622,0.020201953,0,21,34,45,299,8.77083302,141.75,1.15,0.483000982,0.996851528,0.998482143,0.178247576,0.542464919,0.080003187,58.01990918
-120.36388,50.6875,340,98347.62935,0.005314555,0.086348236,0.477592506,0.000205939,0.000890188,0.409446622,0.020201953,0,21,34,45,299,8.77083302,141.75,1.8,0.456816747,0.997101916,0.997684918,0.170754982,0.543822495,0.067182483,58.38529924
-120.36388,50.6875,340,98347.62935,0.005314555,0.086348236,0.477592506,0.000205939,0.000890188,0.409446622,0.020201953,0,21,34,45,299,8.77083302,141.75,1.27,0.433293633,0.995950153,0.996264985,0.158063224,0.540056961,0.076931419,58.10745455
-116.774446,43.123359,1490,90.76776134,0.000503735,0.150710266,0.841179603,0.000654855,0,0.003216707,0.003734834,0,24,35,41,370,6.91666651,181.4166667,1.45,0.542968788,0.9974743,0.99887643,0.208467367,0.554234949,0.115263551,57.0149888
-116.774446,43.123359,1490,90.76776134,0.000503735,0.150710266,0.841179603,0.000654855,0,0.003216707,0.003734834,0,24,35,41,370,6.91666651,181.4166667,1.46,0.542043615,0.997656292,0.998925501,0.209676967,0.558053495,0.134416993,56.46911571
-116.774446,43.123359,1490,90.76776134,0.000503735,0.150710266,0.841179603,0.000654855,0,0.003216707,0.003734834,0,24,35,41,370,6.91666651,181.4166667,2.16,0.544239713,0.997732547,0.998904814,0.211698399,0.557883663,0.121952416,56.82435613
-105.224214,40.66453,1633,4773.093112,0.03640591,0.185817145,0.684947124,0.027278182,0.003067577,0.022425561,0.039953499,0.000105003,19,37,44,392,8.59166622,181.1666667,1.94,0.531930619,0.996999343,0.998603368,0.199975373,0.549409179,0.108696817,57.20214073
