DOC,DEM,farmland,forest,grassland,shrub,wetland,tundra,impermeablelayer,bareland,icesnow,bio12,bio1,t_clay,t_sand,t_silt,solar,DA,DADOM
0.73,2108,0.000183293,0.452571227,0.509457894,0.033344575,0,0,0.00082115,0.001744945,0.001876915,413,3.26666665,24,35,41,180.1666667,0.996109034433689,0.998146214372563
0.94,2108,0.000183293,0.452571227,0.509457894,0.033344575,0,0,0.00082115,0.001744945,0.001876915,413,3.26666665,24,35,41,180.1666667,0.995853012327978,0.997891051189252
0.93,2108,0.000183293,0.452571227,0.509457894,0.033344575,0,0,0.00082115,0.001744945,0.001876915,413,3.26666665,24,35,41,180.1666667,0.996055337429362,0.99815271490265
3.6,1190,0.019871261,0.000469519,0.966012874,0.000469519,0,0,0.000121166,0.013055661,0,430,10.42500019,21,34,45,190.25,0.996663957000635,0.998698376772278
4.76,1190,0.019871261,0.000469519,0.966012874,0.000469519,0,0,0.000121166,0.013055661,0,430,10.42500019,21,34,45,190.25,0.997407933913177,0.998932652930061
4.97,1190,0.019871261,0.000469519,0.966012874,0.000469519,0,0,0.000121166,0.013055661,0,430,10.42500019,21,34,45,190.25,0.997440549429244,0.999000818454513
1.79,349,0.041708936,0.513797447,0.434982128,0.00333617,3.40426E-05,0,0.004228085,0.001913191,0,454,7.79999971,21,25,54,134.25,0.996933276176519,0.998360897549422
1.93,349,0.041708936,0.513797447,0.434982128,0.00333617,3.40426E-05,0,0.004228085,0.001913191,0,454,7.79999971,21,25,54,134.25,0.997008780713016,0.998593694132309
1.96,349,0.041708936,0.513797447,0.434982128,0.00333617,3.40426E-05,0,0.004228085,0.001913191,0,454,7.79999971,21,25,54,134.25,0.996740847075611,0.998326061724912
2.71,2463,0.000823337,0.662605372,0.296273076,0.003950509,0.000528749,0,0.034942744,0.000876212,0,459,4.67083311,19,37,44,176.4166667,0.994753072071445,0.997486032293411
2.6,2463,0.000823337,0.662605372,0.296273076,0.003950509,0.000528749,0,0.034942744,0.000876212,0,459,4.67083311,19,37,44,176.4166667,0.995737471414688,0.997996307366228
2.46,2463,0.000823337,0.662605372,0.296273076,0.003950509,0.000528749,0,0.034942744,0.000876212,0,459,4.67083311,19,37,44,176.4166667,0.995987088302909,0.998098042708286
0.58,1350,0.174882355,0.047472048,0.591499454,0.000127998,0,0,0.168550239,0.017467906,0,459,8.33749962,21,34,45,191,0.996644442867442,0.998791610845217
1.16,1350,0.174882355,0.047472048,0.591499454,0.000127998,0,0,0.168550239,0.017467906,0,459,8.33749962,21,34,45,191,0.996748308749023,0.998788802136994
1.57,947,0.000293734,0.319597083,0.670107894,0,0,0,0.005057959,0.004943331,0,468,9.08333302,24,58,18,185.8333333,0.996720766074989,0.998510077597787
0.87,947,0.000293734,0.319597083,0.670107894,0,0,0,0.005057959,0.004943331,0,468,9.08333302,24,58,18,185.8333333,0.997119225944199,0.997604506311048
